feature,F_statistic,p_value
mfcc_delta_06_mean_segmean,1.122176528187576,0.2945410528827451
chroma_02_min_segmean,1.105084430730838,0.29820727690790994
mel_087_mean_segstd,1.1022906424580603,0.2988122169899871
spectral_contrast_4_mean_segmean,1.0961083523322013,0.3001566105614194
spectral_contrast_4_mean_segstd,1.0937679423305444,0.30066762744695463
mfcc_12_max_segmean,1.0901999018338266,0.3014488958439001
mfcc_delta_05_mean_segmean,1.0739504049488244,0.3050409592941652
mel_081_mean_segstd,1.0708066835291012,0.30574241288258186
mfcc_22_max_segstd,1.0651984529139056,0.30699907385412406
mfcc_delta_33_std_segmean,1.0578923702453347,0.3086464570822236
mfcc_39_max_segmean,1.0402843883583865,0.31266521247277673
mel_041_mean_segmean,1.0246698065354074,0.3162874824742277
mfcc_28_min_segmean,1.0235981243639265,0.3165381410831276
mel_016_mean_segmean,1.0198314930553107,0.3174212386649809
mfcc_36_std_segstd,1.018751588879708,0.3176750330952191
chroma_10_mean_segmean,1.0109690340884743,0.3195121154579201
mfcc_15_max_segmean,1.01013388145846,0.31971009942889245
chroma_06_max_segstd,1.0060813464252107,0.3206731469694428
mfcc_06_max_segmean,1.0029505426224778,0.32141982174180894
mel_071_mean_segmean,0.996303893319214,0.323012764768429
mfcc_30_mean_segmean,0.9870188394810312,0.325255873514435
mfcc_delta_18_std_segmean,0.9817683167632327,0.32653361411103266
chroma_05_median_segmean,0.9770855536281796,0.3276789145543956
chroma_12_min_segmean,0.9731911847058592,0.328635532901251
mfcc_32_std_segmean,0.9728634769749105,0.3287162038414697
spectral_flatness_std_segmean,0.9720833836219431,0.32890834526896073
chroma_07_median_segstd,0.9673182916673643,0.330085324338983
mfcc_delta_32_std_segmean,0.9651715954087329,0.3306174248995224
mel_078_mean_segmean,0.95790614818381,0.33242697114583075
chroma_02_std_segmean,0.9535769564731201,0.33351161275028046
mel_050_mean_segstd,0.9524909080565299,0.3337844682100326
mfcc_06_std_segmean,0.9513778841497009,0.334064416366647
mfcc_28_mean_segmean,0.9436205969610191,0.336024446862069
mfcc_delta_12_mean_segmean,0.9318856618804827,0.33901946795125043
mel_060_mean_segmean,0.931497219970923,0.3391192304567582
mfcc_35_min_segmean,0.9304607224085376,0.3393856282462937
mfcc_02_std_segstd,0.9304587688967724,0.33938613060319583
mfcc_11_max_segmean,0.9290333773208689,0.33975295008609585
mfcc_40_min_segstd,0.9285868114637486,0.3398679840028176
mfcc_35_std_segmean,0.925268433204208,0.3407244625954692
chroma_12_std_segstd,0.9188093254361678,0.3424000826103241
mfcc_delta_35_std_segmean,0.917382800684528,0.3427716770270369
mel_084_mean_segmean,0.9078464986632298,0.34527009568369554
mfcc_34_std_segmean,0.9018943527564358,0.3468422394331262
mfcc_18_max_segstd,0.8976717360993758,0.34796356292242964
chroma_10_median_segstd,0.8968769514746605,0.34817517979829793
mfcc_29_min_segmean,0.8906008362176558,0.34985251388288036
chroma_01_min_segmean,0.8884882283638391,0.35041964131534115
mfcc_delta_03_std_segstd,0.8867397061970049,0.3508899952494932
mel_058_mean_segmean,0.8855819182560044,0.35120192345632645
mel_095_mean_segstd,0.8721432970204528,0.3548508944265108
mfcc_02_median_segstd,0.8581954924904247,0.35869427143141586
mel_058_mean_segstd,0.8555726340305896,0.3594235094958917
spectral_contrast_1_std_segstd,0.8552447832065171,0.35951480849155704
mel_015_mean_segmean,0.8549958960138343,0.359584139621805
mfcc_20_median_segmean,0.8525201649759653,0.3602748123127439
chroma_11_min_segstd,0.8506769910490801,0.36079022518852755
mfcc_13_median_segstd,0.8487069715770902,0.3613422535782245
mfcc_24_min_segmean,0.8468679312360816,0.3618586511544221
mfcc_17_std_segstd,0.8445038056039119,0.36252401661248307
